PLAYER NAME,TEAM,POSITION,CUSHION(YDS),SEPARATION(YDS),AVERAGE_TARGETED_AIR_YARDS,%_SHARE_OF_TEAM'S_AIR_YARDS,RECEPTIONS,TARGETS,CATCH%,TOTAL_YARDS,TOUCHDOWNS,YAC/R,xYAC/R,+/-
Austin Hooper,NE,TE,6.1,3.5,6.7,9.3,19,30,63.33,201,1,6.3,4.2,2.1
Mack Hollins,BUF,WR,5.6,3,14,18.63,16,29,55.17,197,3,3,3.6,-0.6
Dontayvion Wicks,GB,WR,6.5,3.2,13.7,24.61,16,43,37.21,192,4,4.1,2.6,1.5
Greg Dortch,ARI,WR,7.3,3.4,5.6,9.1,22,33,66.67,187,1,6.2,5.3,1
Tyler Boyd,TEN,WR,5.9,2.7,6.9,9.92,21,30,70,184,0,3.7,3.6,0.2
KaVontae Turpin,DAL,WR,6.6,2.9,10.1,10.61,17,28,60.71,181,1,4.6,4.8,-0.2
Chig Okonkwo,TEN,TE,6.4,3.5,5.7,7.37,21,27,77.78,177,1,3.8,4.6,-0.8
Jordan Akins,CLE,TE,5.2,4.3,5.6,5.74,19,26,73.08,172,1,4,3.8,0.2
Sterling Shepard,TB,WR,6.8,3,11.8,14.48,16,25,64,166,1,1.8,2.5,-0.7
Troy Franklin,DEN,WR,6.5,3.7,14.3,16.33,15,29,51.72,144,1,4,4,0
Curtis Samuel,BUF,WR,7.1,3.3,6.6,8.22,16,27,59.26,127,0,3.7,4.8,-1.1
Jonathan Mingo,DAL,WR,6.5,3,8.8,10.68,12,26,46.15,121,0,5.7,6.5,-0.8
Mason Tipton,NO,WR,7.4,3.3,12.1,12.65,14,25,56,99,0,2.2,2.7,-0.5
Ja'Lynn Polk,NE,WR,5.1,1.8,12.7,16.58,11,28,39.29,80,2,0.3,1.4,-1.1
